set,group,exam,instance,NC,RF,RS,model,heuristic,config,dominance,solved,makespan,time,expand_number,generated_number,depth,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned,run_date,machine,source_file
j30,11,4,j3011_4,1.5,0.75,0.7,TT,CP,base,False,False,,300.0,5962984,27152302,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,5,j3011_5,1.5,0.75,0.7,TT,CP,base,False,True,49,7.74686,354105,2170043,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,6,j3011_6,1.5,0.75,0.7,TT,CP,base,False,True,44,0.132737,5583,35037,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,7,j3011_7,1.5,0.75,0.7,TT,CP,base,False,True,36,26.4247,1226438,7242386,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,8,j3011_8,1.5,0.75,0.7,TT,CP,base,False,True,62,0.174613,17552,59758,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,9,j3011_9,1.5,0.75,0.7,TT,CP,base,False,True,67,0.00227217,108,495,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,10,j3011_10,1.5,0.75,0.7,TT,CP,base,False,True,38,0.00484158,222,1061,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,1,j3012_1,1.5,0.75,1.0,TT,CP,base,False,True,47,0.000811625,44,185,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,2,j3012_2,1.5,0.75,1.0,TT,CP,base,False,True,46,0.00149842,68,335,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,3,j3012_3,1.5,0.75,1.0,TT,CP,base,False,True,37,0.011995,708,3220,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,4,j3012_4,1.5,0.75,1.0,TT,CP,base,False,True,63,0.00255638,110,587,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,5,j3012_5,1.5,0.75,1.0,TT,CP,base,False,True,47,0.3477,13300,82075,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,6,j3012_6,1.5,0.75,1.0,TT,CP,base,False,True,53,0.21802,14383,60442,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,7,j3012_7,1.5,0.75,1.0,TT,CP,base,False,True,55,0.514928,28974,129358,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,8,j3012_8,1.5,0.75,1.0,TT,CP,base,False,True,35,0.161069,5999,40316,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,9,j3012_9,1.5,0.75,1.0,TT,CP,base,False,True,52,0.00152225,88,370,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,12,10,j3012_10,1.5,0.75,1.0,TT,CP,base,False,True,57,5.78029,305257,1420980,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,1,j3013_1,1.5,1.0,0.2,TT,CP,base,False,False,,300.012,3513995,24275429,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,2,j3013_2,1.5,1.0,0.2,TT,CP,base,False,False,,300.0,3477398,23683939,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,3,j3013_3,1.5,1.0,0.2,TT,CP,base,False,False,,300.003,4093976,25220558,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,4,j3013_4,1.5,1.0,0.2,TT,CP,base,False,False,,300.001,4490647,22791617,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,5,j3013_5,1.5,1.0,0.2,TT,CP,base,False,False,,300.0,3159262,20956966,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,6,j3013_6,1.5,1.0,0.2,TT,CP,base,False,False,,300.002,2553771,17612505,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,7,j3013_7,1.5,1.0,0.2,TT,CP,base,False,False,,300.001,2665409,17120971,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,8,j3013_8,1.5,1.0,0.2,TT,CP,base,False,False,,300.0,2565501,16452454,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,13,9,j3013_9,1.5,1.0,0.2,TT,CP,base,False,False,,300.0,2878795,17764588,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
