group,exam,time,finished,makespan,expand number,generated number,depth,true makespan,iyar solved,iyar time,iyar expanded,iyar generated,is makespan OK?,time- part,NC,RF,RS,time ratio,expand ratio,generated ratio
21,7,600.001,FALSE,0,197062,908015,0,65,TRUE,159.8428798,269685,1239056,,Out of Range,1.8,0.5,0.2,,,
21,8,600.003,FALSE,0,203988,1002887,0,62,TRUE,240.2907369,716976,3334426,,Out of Range,1.8,0.5,0.2,,,
21,9,600.004,FALSE,0,186388,936666,0,69,FALSE,,,,,Out of Range,1.8,0.5,0.2,,,
21,10,600.003,FALSE,0,239959,995902,0,69,TRUE,166.520788,531266,2157085,,Out of Range,1.8,0.5,0.2,,,
22,1,0.649799,TRUE,42,519,2385,33,42,TRUE,0.460114479,538,2445,1,0-10 sec,1.8,0.5,0.5,1.412255058,0.964684015,0.975460123
22,2,2.01827,TRUE,45,1387,6339,33,45,TRUE,1.080129147,1449,6613,1,0-10 sec,1.8,0.5,0.5,1.868545077,0.95721187,0.95856646
22,3,602.833,FALSE,0,197223,675839,0,63,FALSE,,,,,Out of Range,1.8,0.5,0.5,,,
22,4,6.37516,TRUE,42,4861,24251,33,42,TRUE,3.286427021,4985,24838,1,0-10 sec,1.8,0.5,0.5,1.939845297,0.975125376,0.976366857
22,5,600.001,FALSE,0,251286,1250464,0,52,TRUE,342.1174932,536376,2658433,,Out of Range,1.8,0.5,0.5,,,
22,6,447.275,TRUE,52,148570,753157,33,52,TRUE,46.35098839,143419,726013,1,5-10 min,1.8,0.5,0.5,9.649740287,1.035915743,1.03738776
22,7,184.372,TRUE,60,78292,353315,33,60,TRUE,33.21352887,102872,459571,1,2-5 min,1.8,0.5,0.5,5.551111438,0.761062291,0.76879307
22,8,600.008,FALSE,0,234033,1148224,0,55,FALSE,,,,,Out of Range,1.8,0.5,0.5,,,
22,9,0.117102,TRUE,76,97,396,33,76,TRUE,0.096842051,69,238,1,0-10 sec,1.8,0.5,0.5,1.209206112,1.405797101,1.663865546
22,10,120.116,TRUE,55,86307,388314,33,55,TRUE,48.62382388,83611,373533,1,2-5 min,1.8,0.5,0.5,2.470311679,1.032244561,1.039570801
23,1,0.0531134,TRUE,63,53,188,33,63,TRUE,0.037454844,52,179,1,0-10 sec,1.8,0.5,0.7,1.41806491,1.019230769,1.05027933
23,2,0.123293,TRUE,53,116,476,33,53,TRUE,0.143478155,131,539,1,0-10 sec,1.8,0.5,0.7,0.859315483,0.885496183,0.883116883
23,3,0.0771762,TRUE,46,74,320,33,46,TRUE,0.127497673,88,390,1,0-10 sec,1.8,0.5,0.7,0.605314577,0.840909091,0.820512821
23,4,1.11665,TRUE,65,960,4537,33,65,TRUE,0.674880266,963,4555,1,0-10 sec,1.8,0.5,0.7,1.654589794,0.996884735,0.996048299
23,5,14.9702,TRUE,52,9323,53439,33,52,TRUE,7.482406139,11435,65935,1,10-60 sec,1.8,0.5,0.7,2.000720052,0.815303892,0.810480018
23,6,5.46324,TRUE,48,8044,26361,33,48,TRUE,2.373471737,9286,30173,1,0-10 sec,1.8,0.5,0.7,2.301792735,0.866250269,0.873661883
23,7,2.20092,TRUE,60,1603,7836,33,60,TRUE,1.312973976,1644,7978,1,0-10 sec,1.8,0.5,0.7,1.67628608,0.975060827,0.982201053
23,8,0.52565,TRUE,48,461,1866,33,48,TRUE,0.386765003,476,1920,1,0-10 sec,1.8,0.5,0.7,1.359094013,0.968487395,0.971875
23,9,9.49303,TRUE,63,7907,36771,33,63,TRUE,9.251637697,13564,64095,1,0-10 sec,1.8,0.5,0.7,1.026091846,0.582940136,0.573695296
23,10,0.0534264,TRUE,61,78,288,33,61,TRUE,0.117379665,65,216,1,0-10 sec,1.8,0.5,0.7,0.455158907,1.2,1.333333333
24,1,0.0603975,TRUE,53,88,319,33,53,TRUE,0.091109276,83,297,1,0-10 sec,1.8,0.5,1,0.662912742,1.060240964,1.074074074
24,2,0.187813,TRUE,58,133,703,33,58,TRUE,0.191981792,130,691,1,0-10 sec,1.8,0.5,1,0.978285482,1.023076923,1.017366136
24,3,0.0655995,TRUE,69,59,237,33,69,TRUE,0.083220243,57,223,1,0-10 sec,1.8,0.5,1,0.78826374,1.035087719,1.062780269
24,4,0.059782,TRUE,53,51,206,33,53,TRUE,0.088810444,52,204,1,0-10 sec,1.8,0.5,1,0.673141551,0.980769231,1.009803922
24,5,0.0541412,TRUE,51,46,171,33,51,TRUE,0.090113878,57,236,1,0-10 sec,1.8,0.5,1,0.600808679,0.807017544,0.724576271
24,6,0.154785,TRUE,56,120,580,33,56,TRUE,0.15722537,123,602,1,0-10 sec,1.8,0.5,1,0.984478523,0.975609756,0.96345515
24,7,0.874127,TRUE,44,712,2939,33,44,TRUE,0.85258913,1185,5125,1,0-10 sec,1.8,0.5,1,1.025261722,0.600843882,0.573463415
