group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
23,3,0.00642212,True,78,243,1705,63,TT2,j60,LBCS_DP,98,0,0
23,4,300,False,0,8935720,90166104,0,TT2,j60,LBCS_DP,26475049,3345,0
23,5,0.00498618,True,72,131,1112,63,TT2,j60,LBCS_DP,19,0,0
23,6,1.66203,True,81,127969,892526,63,TT2,j60,LBCS_DP,217855,0,0
23,7,1.52446,True,60,52176,513832,63,TT2,j60,LBCS_DP,83932,0,0
23,8,0.00346157,True,72,130,919,63,TT2,j60,LBCS_DP,0,0,0
23,9,0.089159,True,64,3376,32679,63,TT2,j60,LBCS_DP,4019,0,0
23,10,0.00279729,True,68,105,728,63,TT2,j60,LBCS_DP,8,0,0
24,1,0.00268746,True,65,123,834,63,TT2,j60,LBCS_DP,9,0,0
24,2,0.00276299,True,55,114,779,63,TT2,j60,LBCS_DP,0,0,0
24,3,0.00265241,True,67,181,1051,63,TT2,j60,LBCS_DP,0,0,0
24,4,0.019084,True,78,690,6478,63,TT2,j60,LBCS_DP,374,0,0
24,5,0.00289946,True,76,80,594,63,TT2,j60,LBCS_DP,0,0,0
24,6,0.00191756,True,75,65,504,63,TT2,j60,LBCS_DP,0,0,0
24,7,0.00275344,True,68,171,914,63,TT2,j60,LBCS_DP,29,0,0
24,8,0.0189592,True,81,717,5935,63,TT2,j60,LBCS_DP,708,0,0
24,9,3.95873,True,80,233334,1922189,63,TT2,j60,LBCS_DP,493150,0,0
24,10,0.0473544,True,66,4171,22960,63,TT2,j60,LBCS_DP,6790,0,0
25,1,300,False,0,14077251,106945516,0,TT2,j60,LBCS_DP,39590558,1102775,0
25,2,300,False,0,6091500,51817254,0,TT2,j60,LBCS_DP,22589762,590002,0
25,3,300,False,0,10882984,82078360,0,TT2,j60,LBCS_DP,37557192,1283006,0
25,4,300,False,0,9584775,80130010,0,TT2,j60,LBCS_DP,31127904,819454,0
25,5,300,False,0,13880282,105546166,0,TT2,j60,LBCS_DP,45400442,1261964,0
25,6,300,False,0,10214534,72250246,0,TT2,j60,LBCS_DP,28858475,1029792,0
25,7,300,False,0,12559914,88881024,0,TT2,j60,LBCS_DP,41574693,1439545,0
25,8,300,False,0,9241954,74106042,0,TT2,j60,LBCS_DP,27310605,947157,0
25,9,300,False,0,13190809,102798459,0,TT2,j60,LBCS_DP,46984003,1395521,0
25,10,300,False,0,9217461,65474150,0,TT2,j60,LBCS_DP,27072968,1095275,0
26,1,0.930945,True,80,81326,440069,63,TT2,j60,LBCS_DP,119292,144,0
26,2,185.108,True,66,9687704,81141836,63,TT2,j60,LBCS_DP,32041643,636449,0
26,3,300,False,0,8079235,75025365,0,TT2,j60,LBCS_DP,26510195,491,0
26,4,300,False,0,8566914,70931311,0,TT2,j60,LBCS_DP,21925351,14145,0
26,5,300,False,0,7435846,66069562,0,TT2,j60,LBCS_DP,13942695,13870,0
26,6,300,False,0,9985811,103972704,0,TT2,j60,LBCS_DP,29888711,6295,0
26,7,300,False,0,9889089,88364910,0,TT2,j60,LBCS_DP,34554844,0,0
26,8,156.774,True,89,6487320,51311014,63,TT2,j60,LBCS_DP,17359877,27682,0
26,9,300,False,0,4749682,53733997,0,TT2,j60,LBCS_DP,11905902,0,0
26,10,10.5926,True,85,417442,3521171,63,TT2,j60,LBCS_DP,1094838,3,0
27,1,34.418,True,96,1316339,11149874,63,TT2,j60,LBCS_DP,3451900,194,0
27,2,24.0453,True,74,845607,7141726,63,TT2,j60,LBCS_DP,1780596,423,0
27,3,300,False,0,6410987,75320136,0,TT2,j60,LBCS_DP,15990495,12646,0
27,4,300,False,0,12573190,122125750,0,TT2,j60,LBCS_DP,41153254,54,0
27,5,129.336,True,78,4993760,33719355,63,TT2,j60,LBCS_DP,11483764,4137,0
27,6,1.41559,True,64,56306,504799,63,TT2,j60,LBCS_DP,49749,0,0
27,7,0.84571,True,83,31125,285945,63,TT2,j60,LBCS_DP,55530,0,0
27,8,0.101417,True,88,5137,35104,63,TT2,j60,LBCS_DP,3108,0,0
27,9,0.921163,True,76,24679,238621,63,TT2,j60,LBCS_DP,38717,0,0
27,10,300,False,0,6410572,73340058,0,TT2,j60,LBCS_DP,29036878,0,0
28,1,0.00277782,True,92,125,777,63,TT2,j60,LBCS_DP,13,0,0
28,2,0.00213443,True,64,71,533,63,TT2,j60,LBCS_DP,0,0,0
28,3,0.00257148,True,72,82,681,63,TT2,j60,LBCS_DP,0,0,0
28,4,0.00284562,True,84,96,734,63,TT2,j60,LBCS_DP,2,0,0
28,5,0.00180751,True,71,63,484,63,TT2,j60,LBCS_DP,0,0,0
28,6,0.0030316,True,89,92,688,63,TT2,j60,LBCS_DP,0,0,0
28,7,0.00158749,True,75,63,429,63,TT2,j60,LBCS_DP,0,0,0
28,8,0.120633,True,62,5216,44004,63,TT2,j60,LBCS_DP,5892,0,0
28,9,0.0031198,True,74,91,763,63,TT2,j60,LBCS_DP,0,0,0
28,10,0.00195391,True,74,63,488,63,TT2,j60,LBCS_DP,0,0,0
29,1,300,False,0,9049326,75345517,0,TT2,j60,LBCS_DP,24256496,288868,0
29,2,300,False,0,11159209,83273842,0,TT2,j60,LBCS_DP,27574750,854316,0
29,3,300,False,0,7595420,70266060,0,TT2,j60,LBCS_DP,21406072,251740,0
29,4,300,False,0,9667535,80030420,0,TT2,j60,LBCS_DP,23733697,599311,0
29,5,300,False,0,8939859,68139041,0,TT2,j60,LBCS_DP,27278793,837617,0
29,6,300,False,0,9443652,73073219,0,TT2,j60,LBCS_DP,25310215,645405,0
