group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
19,6,0.0118048,True,49,2644,9904,33,TT2,j30,LBMAX_DP,2904,430,0
19,7,0.0225549,True,57,4405,19343,33,TT2,j30,LBMAX_DP,2761,132,0
19,8,0.00320125,True,55,470,2115,33,TT2,j30,LBMAX_DP,304,0,0
19,9,0.00506172,True,38,671,3894,33,TT2,j30,LBMAX_DP,329,0,0
19,10,0.0718137,True,47,14351,58904,33,TT2,j30,LBMAX_DP,12619,2730,0
20,1,0.000291194,True,57,33,137,33,TT2,j30,LBMAX_DP,0,0,0
20,2,0.00151708,True,70,258,1021,33,TT2,j30,LBMAX_DP,66,0,0
20,3,0.00184937,True,49,196,1134,33,TT2,j30,LBMAX_DP,73,0,0
20,4,0.000717535,True,43,76,394,33,TT2,j30,LBMAX_DP,5,0,0
20,5,0.00164706,True,61,242,1158,33,TT2,j30,LBMAX_DP,146,0,0
20,6,0.000379956,True,51,48,187,33,TT2,j30,LBMAX_DP,0,0,0
20,7,0.000420582,True,42,45,199,33,TT2,j30,LBMAX_DP,0,0,0
20,8,0.000268436,True,51,33,119,33,TT2,j30,LBMAX_DP,0,0,0
20,9,0.000362897,True,41,33,160,33,TT2,j30,LBMAX_DP,0,0,0
20,10,0.000283385,True,37,33,121,33,TT2,j30,LBMAX_DP,0,0,0
21,1,0.0146928,True,84,3358,11207,33,TT2,j30,LBMAX_DP,5637,290,0
21,2,0.0492365,True,59,8526,36083,33,TT2,j30,LBMAX_DP,17894,513,0
21,3,0.0481919,True,76,9319,36607,33,TT2,j30,LBMAX_DP,15453,1428,0
21,4,0.0621217,True,70,11268,41348,33,TT2,j30,LBMAX_DP,14076,2094,0
21,5,0.0646826,True,55,9095,45262,33,TT2,j30,LBMAX_DP,18121,729,0
21,6,0.112134,True,76,19853,85883,33,TT2,j30,LBMAX_DP,43796,1865,0
21,7,0.0391732,True,65,6984,27040,33,TT2,j30,LBMAX_DP,8174,818,0
21,8,0.0990474,True,62,16122,63515,33,TT2,j30,LBMAX_DP,23577,3055,0
21,9,0.0920644,True,69,15534,68692,33,TT2,j30,LBMAX_DP,31203,1167,0
21,10,0.0317402,True,69,5627,22041,33,TT2,j30,LBMAX_DP,9291,543,0
22,1,0.00226974,True,42,262,1297,33,TT2,j30,LBMAX_DP,175,0,0
22,2,0.00949037,True,45,1742,5833,33,TT2,j30,LBMAX_DP,1660,442,0
22,3,0.247822,True,63,39182,162094,33,TT2,j30,LBMAX_DP,40736,7004,0
22,4,0.0495321,True,42,7266,32268,33,TT2,j30,LBMAX_DP,8990,726,0
22,5,0.0570042,True,52,11049,40769,33,TT2,j30,LBMAX_DP,11228,3999,0
22,6,0.0715871,True,52,11341,45651,33,TT2,j30,LBMAX_DP,18100,2544,0
22,7,0.0336736,True,60,5855,21757,33,TT2,j30,LBMAX_DP,6951,1257,0
22,8,0.347186,True,55,53776,205771,33,TT2,j30,LBMAX_DP,73265,13310,0
22,9,0.00112564,True,76,153,605,33,TT2,j30,LBMAX_DP,36,0,0
22,10,0.168119,True,55,22104,92497,33,TT2,j30,LBMAX_DP,24968,5899,0
23,1,0.000293727,True,63,33,124,33,TT2,j30,LBMAX_DP,0,0,0
23,2,0.00047068,True,53,55,232,33,TT2,j30,LBMAX_DP,0,0,0
